Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2017:Q3,Next9,37448359,40051620,8026602,1030595,8442070,8190467,4459797,3377260,6524829,2603261,2133070,271016,199175
2017:Q3,Next40,27172737,33538971,11430641,2196011,2790813,6837050,3560138,1480340,5243978,6366234,4873482,1302667,190085
2017:Q3,Bottom50,1337126,5986102,2953516,1203713,155998,233799,419306,150505,869265,4648976,2332164,2089993,226819
2017:Q4,TopPt1,12184946,12294276,1005677,436341,5623588,68864,169540,2999790,1990477,109330,49295,17871,42164
2017:Q4,RemainingTop1,17763779,18441594,2982320,336875,7245103,662034,898882,2895927,3420454,677816,475719,65531,136566
2017:Q4,Next9,38396212,41042221,8123866,1060503,8932939,8238787,4626270,3460670,6599186,2646009,2165205,275801,205003
2017:Q4,Next40,27729839,34172617,11627965,2217218,2929108,6893874,3681712,1494315,5328425,6442778,4906726,1334083,201969
2017:Q4,Bottom50,1394818,6104521,3007091,1216700,166088,236778,439120,155379,883365,4709703,2331849,2137466,240388
2018:Q1,TopPt1,12204069,12315602,1030706,433435,5571130,65698,161018,3041555,2012060,111533,49290,17425,44818
2018:Q1,RemainingTop1,17897116,18581396,3052469,336287,7308959,669028,876180,2887486,3450987,684281,482000,63412,138869
2018:Q1,Next9,38787692,41451621,8321903,1082693,8909239,8276122,4627775,3517166,6716723,2663930,2194037,265480,204413
2018:Q1,Next40,28131184,34588478,11898834,2242471,2885298,6943075,3648340,1499530,5470930,6457294,4926298,1318360,212636
2018:Q1,Bottom50,1488492,6207540,3065953,1233994,159862,239430,441099,160164,907038,4719048,2314300,2155234,249514
2018:Q2,TopPt1,12321576,12435053,1045793,426205,5629136,62384,154333,3118383,1998819,113477,49530,17550,46397
2018:Q2,RemainingTop1,18142356,18832924,3093216,336228,7498072,676812,870100,2898938,3459558,690568,488860,60121,141587
2018:Q2,Next9,39366088,42056766,8445237,1106352,9078368,8320792,4712125,3609285,6784607,2690678,2232540,264523,193615
2018:Q2,Next40,28411557,34931816,12035878,2263806,2908505,6997525,3693026,1515624,5517451,6520258,4964182,1331596,224480
2018:Q2,Bottom50,1566077,6317192,3142619,1248308,159618,242311,452234,165183,906919,4751116,2312681,2184398,254037
2018:Q3,TopPt1,12554920,12671720,1056699,417499,5848894,58893,149593,3163181,1976962,116801,49748,18114,48939
2018:Q3,RemainingTop1,18561519,19257337,3129131,335804,7867711,685553,877425,2890966,3470747,695817,496522,58181,141114
2018:Q3,Next9,40233831,42957795,8540024,1127164,9529218,8374443,4850629,3669293,6867025,2723965,2272154,266506,185305
2018:Q3,Next40,28866682,35458885,12201679,2278574,3030421,7058343,3799916,1521406,5568546,6592203,5007338,1355488,229377
2018:Q3,Bottom50,1599179,6410275,3192010,1258676,168300,245469,471213,170090,904517,4811096,2317647,2236279,257170
2018:Q4,TopPt1,11716745,11834946,1059484,400020,4997230,56132,132864,3163413,2025803,118201,49736,18645,49820
2018:Q4,RemainingTop1,17744242,18446836,3146170,338040,7069609,690079,785432,2856773,3560733,702593,503944,54821,143828
2018:Q4,Next9,38779556,41519020,8564455,1160931,8132175,8387945,4519240,3684568,7069706,2739465,2303109,270231,166125
2018:Q4,Next40,28282881,34944876,12366816,2300898,2496756,7090825,3445485,1513113,5730983,6661995,5036152,1384195,241648
2018:Q4,Bottom50,1571338,6419573,3250300,1271715,117287,247410,435664,174821,922376,4848235,2311478,2279150,257607
2019:Q1,TopPt1,12669278,12790197,1077238,418324,5779043,51974,131581,3250436,2081601,120919,49483,18125,53311
2019:Q1,RemainingTop1,18956270,19659760,3217578,333079,8057870,702523,831482,2871917,3645311,703490,511167,52746,139577
2019:Q1,Next9,41183358,43919999,8783854,1165326,9559053,8476657,4871439,3787712,7275958,2736642,2325184,259941,151517
2019:Q1,Next40,29559455,36214083,12570024,2328906,2963029,7176315,3739124,1531709,5904976,6654628,5050417,1368151,236060
2019:Q1,Bottom50,1689941,6533010,3231444,1294477,157391,251636,476058,180049,941955,4843069,2294356,2295526,253187
2019:Q2,TopPt1,12919273,13042350,1089251,417501,5921848,48289,125086,3394372,2046004,123077,49174,18322,55581
2019:Q2,RemainingTop1,19348875,20061571,3263073,331392,8351377,715338,836150,2918228,3646013,712697,521731,50021,140945
2019:Q2,Next9,42064825,44827633,8918547,1182065,9884649,8503457,5032395,3948448,7358071,2762807,2353859,261439,147509
2019:Q2,Next40,30018895,36741749,12700396,2348564,3038064,7285087,3842364,1567477,5959796,6722854,5087495,1388828,246531
2019:Q2,Bottom50,1739075,6637710,3289122,1309094,161825,261230,493837,185580,937021,4898635,2304015,2333481,261139
2019:Q3,TopPt1,12889154,13015751,1089852,388389,5843295,44664,116410,3442913,2090228,126597,49140,18768,58689
2019:Q3,RemainingTop1,19443099,20161988,3260879,335619,8408142,727676,822923,2909636,3697114,718889,530716,48415,139758
2019:Q3,Next9,42303469,45092536,8921575,1223507,9830668,8524940,5109504,4013310,7469033,2789067,2387799,262498,138770
2019:Q3,Next40,30234243,37019587,12825399,2365970,2976996,7390606,3862818,1573542,6024256,6785344,5127436,1409586,248322
2019:Q3,Bottom50,1862867,6821225,3446098,1317307,153746,270733,501904,190707,940729,4958357,2311245,2384868,262244
2019:Q4,TopPt1,13496203,13626982,1112480,384846,6222920,65970,125798,3447829,2267139,130779,50043,21230,59506
2019:Q4,RemainingTop1,19922938,20645945,3265888,336066,8714002,758641,903568,2931514,3736265,723006,518744,52654,151608
2019:Q4,Next9,43341967,46165689,8993714,1241564,10701616,8433253,5251900,4015362,7528280,2823722,2400805,281729,141188
2019:Q4,Next40,31371180,38231554,13065905,2384768,3390436,7586872,4062227,1605640,6135706,6860374,5179291,1439019,242064
2019:Q4,Bottom50,1950849,6942056,3449514,1322654,192056,290282,521220,188346,977984,4991207,2327306,2397559,266342
2020:Q1,TopPt1,12454388,12587083,1145858,384114,4677796,88872,117393,3487685,2685364,132695,50776,22259,59660
2020:Q1,RemainingTop1,18326679,19061233,3296019,335606,6915671,779166,828127,2973086,3933558,734553,506383,58620,169550
2020:Q1,Next9,40567910,43409611,9189431,1255150,8243273,8245792,4658123,4052748,7765094,2841701,2407179,282554,151968
2020:Q1,Next40,30712174,37590437,13379010,2400566,2619042,7713149,3539712,1648562,6290396,6878263,5219350,1409819,249094
2020:Q1,Bottom50,1947443,6936033,3523426,1326870,123078,306735,454589,186125,1015211,4988590,2333805,2374583,280202
2020:Q2,TopPt1,13891075,14027603,1178887,381280,5693806,110272,132130,3517706,3013522,136528,52251,23385,60892
2020:Q2,RemainingTop1,19692206,20420786,3321430,334118,7939423,806892,964660,3009239,4045025,728580,490469,61924,176187
2020:Q2,Next9,43183103,46040622,9391336,1261777,10186219,8130944,5114629,4080402,7875315,2857519,2429692,285955,141872
2020:Q2,Next40,32748179,39639726,13758270,2402339,3397991,7887951,4012495,1688569,6492112,6891547,5272084,1388294,231169
2020:Q2,Bottom50,2280044,7230257,3611831,1322875,193964,325162,505612,183848,1086965,4950213,2339094,2337767,273352
2020:Q3,TopPt1,14617806,14760120,1217612,395752,6209339,131829,140598,3651726,3013264,142314,53893,25550,62871
2020:Q3,RemainingTop1,20305165,21034779,3357948,337069,8426540,832437,1046794,3103859,3930131,729614,477591,67247,184776
2020:Q3,Next9,44601859,47534075,9629882,1300692,11259371,7998898,5318164,4212770,7814298,2932216,2465988,300010,166218
2020:Q3,Next40,34084416,41069639,14113874,2479674,3863364,8048161,4235486,1760947,6568133,6985224,5358066,1402024,225134
2020:Q3,Bottom50,2463948,7477784,3708687,1364427,235959,342872,526769,181913,1117158,5013836,2377610,2347842,288384
2020:Q4,TopPt1,16057115,16205380,1264872,407251,7245478,151947,154476,3758516,3222839,148264,55743,27866,64655
2020:Q4,RemainingTop1,21743075,22473897,3411006,339544,9505498,864974,1163758,3183233,4005884,730822,462393,70704,197725
2020:Q4,Next9,47397053,50418050,9922955,1335030,13228638,7937758,5649116,4317858,8026695,3020998,2503431,316650,200917
2020:Q4,Next40,36192656,43282121,14561238,2545429,4640631,8255863,4613049,1825095,6840816,7089465,5436895,1422286,230284
2020:Q4,Bottom50,2746689,7811891,3823846,1398988,305008,362505,567774,179811,1173959,5065202,2403916,2347348,313938
2021:Q1,TopPt1,16992417,17146595,1326184,428956,7759873,172994,163358,3865073,3430157,154178,58006,29520,66652
2021:Q1,RemainingTop1,22488305,23216250,3504789,338788,10009812,891023,1226635,3262539,3982664,727946,444037,74800,209109
2021:Q1,Next9,48842736,51937849,10357997,1353763,14293799,7817707,5703261,4422866,7988456,3095112,2546537,322434,226141
2021:Q1,Next40,37715698,44867871,15149550,2601361,5095763,8419750,4740892,1889365,6971190,7152173,5511869,1410050,230254
2021:Q1,Bottom50,3000583,8080265,3932278,1429946,345232,380189,580106,177648,1234867,5079682,2417459,2330386,331837
2021:Q2,TopPt1,18145970,18308645,1424377,471049,8359272,193537,173628,4108347,3578436,162676,61199,33729,67748
2021:Q2,RemainingTop1,23558260,24293268,3677515,344239,10614606,918844,1314156,3417829,4006079,735008,436575,80773,217660
2021:Q2,Next9,51033496,54283031,11068249,1413683,15504957,7718086,5910263,4664921,8002871,3249535,2651009,363101,235425
2021:Q2,Next40,39610380,47067617,16149266,2751054,5599933,8595763,4986945,1996076,6988580,7457237,5728387,1504195,224655
2021:Q2,Bottom50,3171943,8483267,4149592,1517145,389545,398303,605240,175663,1247779,5311324,2568055,2403326,339943
2021:Q3,TopPt1,18677649,18844717,1503188,496992,8373425,214505,176900,4361732,3717974,167067,62471,35929,68667
2021:Q3,RemainingTop1,23845530,24591817,3796564,348702,10568374,943075,1343036,3578197,4013868,746287,429375,87439,229473
2021:Q3,Next9,51857557,55175080,11597400,1461792,15697713,7587078,5866008,4916986,8048103,3317523,2691288,381178,245057
2021:Q3,Next40,40863747,48460659,16971639,2858706,5741203,8747376,4973415,2105886,7062433,7596912,5844275,1529068,223569
2021:Q3,Bottom50,3323724,8748635,4311555,1577879,401849,415304,599049,173485,1269514,5424911,2647786,2426527,350598
2021:Q4,TopPt1,19415570,19586830,1544083,520180,8654107,234424,187822,4527507,3918707,171260,63896,38426,68938
2021:Q4,RemainingTop1,24315260,25077889,3818101,354270,10823866,972427,1421944,3690082,3997199,762629,421878,92857,247894
2021:Q4,Next9,52946550,56338001,11834952,1514502,16351775,7508529,5998543,5081683,8048017,3391451,2736605,404372,250474
2021:Q4,Next40,42010253,49774374,17301211,2969333,6043343,8933963,5176987,2188884,7160654,7764121,5967905,1567031,229185
2021:Q4,Bottom50,3466459,9007747,4403630,1639795,428187,433711,620678,171093,1310654,5541289,2733247,2445850,362192
2022:Q1,TopPt1,19514930,19688449,1700654,551441,8229714,260080,187717,4655802,4103040,173519,64047,39829,69643
2022:Q1,RemainingTop1,24110054,24886026,4118156,359119,10290408,966341,1398481,3781450,3972071,775972,416671,99468,259833
2022:Q1,Next9,52948543,56361164,12948965,1565000,15770583,7091441,5671203,5209316,8104656,3412621,2745297,415937,251387
2022:Q1,Next40,43597169,51437480,19116096,3087869,5904013,8878046,4931283,2260558,7259615,7840311,6043764,1571593,224954
2022:Q1,Bottom50,3704072,9313329,4657402,1707622,415999,441756,588915,168617,1333018,5609257,2792511,2450129,366617
2022:Q2,TopPt1,18463696,18641805,1805154,554190,6698434,284848,179742,4859092,4260344,178108,66086,42947,69075
2022:Q2,RemainingTop1,22487967,23268330,4262054,363676,8506466,950408,1307144,3913936,3964646,780364,405781,104529,270054
2022:Q2,Next9,50196549,53672517,13614236,1605325,13226184,6694294,5075743,5412119,8044616,3475968,2803201,443760,229007
2022:Q2,Next40,43122282,51133007,20214352,3149168,5058685,8753373,4409541,2355325,7192564,8010725,6174490,1623121,213114
2022:Q2,Bottom50,3761398,9471145,4927501,1738330,343363,441626,523139,166065,1331122,5709747,2873326,2479719,356702
2022:Q3,TopPt1,18285096,18468847,1753354,565755,6315210,307882,181558,4842413,4502674,183751,68297,45906,69548
2022:Q3,RemainingTop1,21876187,22657938,4087427,367633,8016975,941762,1295092,3926318,4022730,781750,391805,109846,280099
2022:Q3,Next9,48662442,52213225,13219066,1644709,12685968,6372115,4815896,5396096,8079375,3550783,2858588,466530,225665
2022:Q3,Next40,42043973,50198244,19612021,3221422,4922637,8677685,4236546,2382944,7144988,8154270,6287551,1660769,205950
2022:Q3,Bottom50,3594587,9389507,4849725,1776805,332332,443476,499950,163550,1323669,5794920,2930353,2506297,358270
2022:Q4,TopPt1,18660979,18845992,1722607,575044,6680180,311887,187036,4701802,4667436,185013,69682,47471,67860
2022:Q4,RemainingTop1,22301103,23085058,4007342,369344,8433482,923131,1339461,3852189,4160108,783955,391307,110160,282488
2022:Q4,Next9,49053815,52632181,12958233,1655395,13339183,6187160,4988022,5257112,8247075,3578366,2903278,482184,192904
2022:Q4,Next40,41784965,50048535,19167165,3251084,5158436,8554539,4415893,2341799,7159619,8263570,6356590,1707867,199113
2022:Q4,Bottom50,3464065,9322448,4739383,1794764,352149,438396,522194,163977,1311585,5858383,2972275,2546361,339747
2023:Q1,TopPt1,19268991,19456900,1720832,579717,7119591,312289,191255,4583367,4949849,187909,71533,47948,68428
2023:Q1,RemainingTop1,22984596,23752488,3999701,373234,8934344,930155,1387711,3791176,4336167,767893,384158,108845,274890
2023:Q1,Next9,50152051,53763197,12935558,1676117,14124609,6245737,5222104,5140680,8418392,3611146,2944025,481562,185559
2023:Q1,Next40,42244232,50527899,19126489,3289569,5441708,8610149,4618775,2308146,7133063,8283667,6389343,1706036,188288
2023:Q1,Bottom50,3561560,9396431,4758375,1816683,376016,441010,545610,164523,1294214,5834872,2959778,2542089,333005
2023:Q2,TopPt1,20045949,20236399,1812985,592364,7590646,311661,194996,4667224,5066523,190450,72668,48999,68783
2023:Q2,RemainingTop1,23897998,24660491,4231287,375811,9467938,936968,1430611,3838596,4379280,762493,382008,108056,272429
2023:Q2,Next9,51998616,55655822,13632078,1693087,14960899,6308499,5431004,5224993,8405262,3657206,2976145,491753,189308
2023:Q2,Next40,44088806,52441330,20510704,3334051,5741908,8659209,4802495,2334943,7058020,8352523,6430924,1734787,186812
2023:Q2,Bottom50,3681599,9552577,4846276,1843683,401645,443174,566853,164684,1286262,5870978,2979344,2557154,334480
2023:Q3,TopPt1,19852201,20044591,1831322,590286,7269598,313156,185602,4681552,5173075,192390,73497,49642,69251
2023:Q3,RemainingTop1,23592575,24352472,4274810,376802,9104557,926117,1405194,3845878,4419115,759897,380907,106670,272320
2023:Q3,Next9,51445707,55147343,13758362,1698117,14391421,6205661,5495063,5239035,8359683,3701636,3001663,499928,200045
2023:Q3,Next40,43885707,52297601,20804267,3338960,5537608,8583456,4722741,2338944,6971626,8411895,6466743,1755319,189833
2023:Q3,Bottom50,3640939,9540407,4874815,1846101,384174,439908,551089,164606,1279714,5899468,3003031,2555729,340708
