Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1998:Q4,Bottom50,1208648,3175814,1512157,645573,133823,196593,207776,89372,390520,1967166,1138971,769422,58773
1999:Q1,TopPt1,4182062,4246336,302332,149396,1634236,31355,49673,913415,1165929,64274,24629,3286,36359
1999:Q1,RemainingTop1,6087141,6331619,855545,221110,2130549,316353,376239,1130338,1301485,244478,177627,15233,51618
1999:Q1,Next9,13314730,14372379,2808526,609842,2932343,3043753,1224723,1411575,2341617,1057649,797777,131750,128122
1999:Q1,Next40,12652944,15248167,4855631,1230148,1443845,3002469,1517525,803537,2395012,2595223,1977313,517350,100560
1999:Q1,Bottom50,1246812,3238266,1567303,650774,132306,196043,212368,87479,391993,1991454,1159331,774780,57343
1999:Q2,TopPt1,4276659,4337767,311626,154204,1741527,31473,50139,935931,1112867,61108,23822,3018,34268
1999:Q2,RemainingTop1,6313111,6569876,891486,235991,2278624,331770,387849,1163322,1280834,256765,185524,16191,55050
1999:Q2,Next9,13784584,14865490,2911524,606201,3211294,3080215,1299516,1433864,2322875,1080906,810788,129667,140451
1999:Q2,Next40,12957696,15623272,4972630,1246255,1564390,3058968,1577999,817426,2385604,2665577,2026387,531852,107338
1999:Q2,Bottom50,1230257,3270062,1576218,662194,139319,195674,220213,85009,391436,2039805,1186677,790853,62275
1999:Q3,TopPt1,4193551,4250844,324318,143464,1609954,31863,48153,986563,1106530,57293,23310,2913,31070
1999:Q3,RemainingTop1,6291833,6557730,919015,254105,2166981,345783,377332,1209090,1285424,265897,192484,16937,56476
1999:Q3,Next9,13759312,14863999,2974823,617504,3086113,3102020,1262321,1482656,2338563,1104687,832515,129296,142876
1999:Q3,Next40,13029748,15774372,5098957,1263880,1533872,3105436,1529887,838246,2404094,2744624,2085196,552101,107327
1999:Q3,Bottom50,1241494,3329725,1636057,671750,132940,194884,215900,82359,395835,2088232,1217719,810648,59865
1999:Q4,TopPt1,4537530,4592731,339171,147732,1935729,31586,49654,993954,1094904,55201,23021,2931,29249
